Date,SiteID,value
2019-09-26,RCC,0.0
2019-09-26,SID,0.0
2019-09-26,BWCC,0.0
2019-09-26,AFRD2,0.0
2019-09-26,TFCC,0.0
2019-09-26,SWID,0.0
2019-09-26,NSCC,0.0
2019-09-27,RCC,0.0
2019-09-27,SID,0.0
2019-09-27,BWCC,0.0
2019-09-27,AFRD2,0.0
2019-09-27,TFCC,0.0
2019-09-27,SWID,0.0
2019-09-27,NSCC,0.0
2019-09-28,RCC,0.0
2019-09-28,SID,0.0
2019-09-28,BWCC,0.0
2019-09-28,AFRD2,0.0
2019-09-28,TFCC,0.0
2019-09-28,SWID,0.0
2019-09-28,NSCC,0.0
2019-09-29,RCC,0.0
2019-09-29,SID,0.0
2019-09-29,BWCC,0.0
2019-09-29,AFRD2,0.0
2019-09-29,TFCC,0.0
2019-09-29,SWID,0.0
2019-09-29,NSCC,0.0
2019-09-30,RCC,0.0
2019-09-30,SID,0.0
2019-09-30,BWCC,0.0
2019-09-30,AFRD2,0.0
2019-09-30,TFCC,0.0
2019-09-30,SWID,0.0
2019-09-30,NSCC,0.0
2019-10-01,RCC,0.0
2019-10-01,SID,0.0
2019-10-01,BWCC,0.0
2019-10-01,AFRD2,0.0
2019-10-01,TFCC,0.0
2019-10-01,SWID,0.0
2019-10-01,NSCC,0.0
2019-10-02,RCC,0.0
2019-10-02,SID,0.0
2019-10-02,BWCC,0.0
2019-10-02,AFRD2,0.0
2019-10-02,TFCC,0.0
2019-10-02,SWID,0.0
2019-10-02,NSCC,0.0
2019-10-03,RCC,0.0
2019-10-03,SID,0.0
2019-10-03,BWCC,0.0
2019-10-03,AFRD2,0.0
2019-10-03,TFCC,0.0
2019-10-03,SWID,0.0
2019-10-03,NSCC,0.0
2019-10-04,RCC,0.0
2019-10-04,SID,0.0
2019-10-04,BWCC,0.0
2019-10-04,AFRD2,0.0
2019-10-04,TFCC,0.0
2019-10-04,SWID,0.0
2019-10-04,NSCC,0.0
2019-10-05,RCC,0.0
2019-10-05,SID,0.0
2019-10-05,BWCC,0.0
2019-10-05,AFRD2,0.0
2019-10-05,TFCC,0.0
2019-10-05,SWID,0.0
2019-10-05,NSCC,0.0
2019-10-06,RCC,0.0
2019-10-06,SID,0.0
2019-10-06,BWCC,0.0
2019-10-06,AFRD2,0.0
2019-10-06,TFCC,0.0
2019-10-06,SWID,0.0
2019-10-06,NSCC,0.0
2019-10-07,RCC,0.0
2019-10-07,SID,0.0
2019-10-07,BWCC,0.0
2019-10-07,AFRD2,0.0
2019-10-07,TFCC,0.0
2019-10-07,SWID,0.0
2019-10-07,NSCC,0.0
2019-10-08,RCC,0.0
2019-10-08,SID,0.0
2019-10-08,BWCC,0.0
2019-10-08,AFRD2,0.0
2019-10-08,TFCC,0.0
2019-10-08,SWID,0.0
2019-10-08,NSCC,0.0
2019-10-09,RCC,0.0
2019-10-09,SID,0.0
2019-10-09,BWCC,0.0
2019-10-09,AFRD2,0.0
2019-10-09,TFCC,0.0
2019-10-09,SWID,0.0
2019-10-09,NSCC,0.0
